Stall_Holder_Id,Stall_holder_name,Stall_holder_fullName,Accounting,Aerospace Engineering,Agriculture & Veterinary,Animal Science,Biological Studies,Business Studies,Chemistry,Cinematic & Photography,Civil Engineering,Communication Technology,Computer Science,Dentistry,Design Studies,Drama/Dance,Economics,Education Studies,Electronic & Engineering,Fashion Technology,Finance,Fine Art,Food & Beverages Studies,Hospitality & Catering,Human Resource Management,Language,Law,Logistic Engineering,Management Studies,Manufacturing,Marketing,Mathematics & Statistics,Media Studies,Medicine,Music,Naval Engineering,Nursing and Healthcare,Other,Pharmacy,Photography,Politics,Teacher Training,Tourism
52,3WGE,3W Global Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,Overseas Education,",,,,,
443,ABI,A & B International (pvt) Ltd,"Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,"
120,AMDT,Academy of Multimedia Design & Technology,,,,,,,,"Certificate,Diploma,Foundation Degree,Degree,",,"Certificate,Diploma,Foundation Degree,Degree,",,,"Certificate,Diploma,Foundation Degree,Degree,",,,,,"Certificate,Diploma,Foundation Degree,Degree,",,"Certificate,Diploma,Foundation Degree,Degree,",,,,,,,,,"Certificate,Diploma,Foundation Degree,Degree,",,"Certificate,Diploma,Foundation Degree,Degree,",,,,,"Certificate,Diploma,Foundation Degree,",,"Certificate,Diploma,Foundation Degree,Degree,",,,
541,Accurate International,,"Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,"
27,Achievers,Achievers Lanka Business School,"CHARTERED INSTITUTE OF MANAGEMENT ACCOUNTANTS (CIMA),",,,,,,,,,,,,,,"CHARTERED INSTITUTE OF MANAGEMENT ACCOUNTANTS (CIMA),",,,,"CHARTERED INSTITUTE OF MANAGEMENT ACCOUNTANTS (CIMA),",,,,,,,"Certificate,Diploma,",,,,,,,,,,,,,,,
420,ACTA,Advanced Construction Training Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,AMASA,Amasa Education Services,"Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Foundation Degree,Degree,Masters,Phd,","Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Foundation Degree,Degree,Masters,Phd,","Foundation Degree,Degree,Masters,Phd,","Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Degree,Masters,Phd,","Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Foundation Degree,Degree,Masters,Phd,","Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,"
19,ACHE,American College of Higher Education,"Degree,","Degree,","Degree,","Degree,","Degree,","Diploma,Degree,","Degree,","Degree,","Degree,","Degree,","Diploma,Degree,","Degree,","Degree,","Degree,","Degree,","Diploma,Degree,","Degree,","Degree,","Degree,","Degree,",,"Diploma,","Diploma,Degree,","Degree,","Degree,","Degree,","Diploma,Degree,","Degree,","Diploma,Degree,","Degree,","Degree,","Degree,",,,,,"Degree,","Degree,","Degree,","Diploma,Degree,","Diploma,Degree,"
218,AOD,AOD International Design Campus,,,,,,,,,,,,,"Degree,",,,,,"Degree,",,,,,,,,,,,,,,,,,,,,,,,
438,Apex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,Arden,,,,,,,,,,,,,,,,,,,,,,,"Certificate,Workshops,Training Programmes,",,,,,,,,,,,,,,,,,,,
47,AAC,Asian Aviation Center (Pvt) Ltd,,"Foundation Degree,Degree,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Auston,,"Degree,",,,,,"Diploma,Foundation Degree,Degree,Masters,",,,,"Diploma,Foundation Degree,Degree,","Diploma,Foundation Degree,Degree,",,,,,,"Diploma,Foundation Degree,Degree,",,"Degree,",,,,"Diploma,Degree,",,,,"Diploma,Foundation Degree,Degree,",,"Diploma,Foundation Degree,Degree,",,,,,,,"Degree,",,,,,
574,AIBT,,"Certificate,Diploma,Foundation Degree,",,,,,"Certificate,Diploma,Foundation Degree,",,,,,,,,,,,,,"Certificate,Diploma,Foundation Degree,",,"Certificate,Diploma,Foundation Degree,","Certificate,Diploma,Foundation Degree,",,"Certificate,",,,"Certificate,Diploma,Foundation Degree,Masters,",,"Certificate,Diploma,Foundation Degree,",,,,,,"Certificate,",,,,,,"Certificate,Diploma,Foundation Degree,"
11,ACBT - Kandy,Australian College of Business And Technology - Kandy,"Foundation Degree,",,,"Foundation Degree,","Foundation Degree,","Foundation Degree,Degree,Masters,","Foundation Degree,",,"Foundation Degree,Degree,",,"Foundation Degree,Degree,",,,,"Foundation Degree,",,"Foundation Degree,Degree,",,"Foundation Degree,",,,"Foundation Degree,Degree,","Foundation Degree,",,,,"Foundation Degree,Degree,Masters,",,"Foundation Degree,Degree,",,,"Foundation Degree,",,,"Foundation Degree,",,"Foundation Degree,",,,,"Foundation Degree,Degree,"
56,BCS,BCS The Charted Institute of IT,,,,,,,,,,,"Certificate,Diploma,Foundation Degree,Degree,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,BMS,BMS,"Certificate,Diploma,Foundation Degree,Degree,Masters,",,,,"Certificate,Diploma,Foundation Degree,Degree,Masters,","Certificate,Diploma,Foundation Degree,Degree,Masters,",,,,,,,,,"Degree,",,,"Degree,","Diploma,Degree,Masters,",,,"Degree,Masters,","Certificate,Diploma,Foundation Degree,Degree,Masters,",,"Diploma,Foundation Degree,Degree,Masters,",,"Certificate,Diploma,Foundation Degree,Degree,Masters,",,"Certificate,Diploma,Foundation Degree,Degree,Masters,",,,"Degree,",,,"Degree,","Diploma,Degree,",,,,,"Diploma,Masters,"
49,BCAS,British College of Applied Studies,,,,,"Degree,",,,,"Foundation Degree,Degree,",,"Foundation Degree,Degree,",,,,,,"Foundation Degree,",,,,,,"Diploma,Foundation Degree,Degree,","Diploma,","Degree,Masters,",,"Diploma,Foundation Degree,Degree,Masters,",,"Foundation Degree,Degree,",,,"Degree,Masters,",,,,,,,,"Diploma,",
135,British Council,British Council - Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,"Certificate,",,,,,,,,,,,,,,,,"Certificate,",
488,CCL,CADD Center Lanka (pvt) Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Diploma in CAD,Diploma in Architectural CAD,Diploma in Mechanical CAD,Diploma in Civil CAD,Diploma in Project Planing & Management ,Primavera,Diploma in Interior Design,Quantity Surveying,",,,,,
465,Canada Gateway Lawyers,Canada GateWay Lawyers,"Certificate,Diploma,Foundation Degree,Degree,Masters,","Certificate,Diploma,Foundation Degree,Degree,","Certificate,Diploma,Foundation Degree,Degree,","Certificate,Diploma,Foundation Degree,Degree,","Certificate,Diploma,Foundation Degree,Degree,","Certificate,Diploma,Foundation Degree,Degree,","Certificate,Diploma,Foundation Degree,Degree,","Certificate,Diploma,Foundation Degree,Degree,","Certificate,Diploma,Foundation Degree,Degree,","Certificate,Diploma,Foundation Degree,Degree,","Certificate,Diploma,Foundation Degree,Degree,","Certificate,Diploma,Foundation Degree,Degree,","Certificate,Diploma,Foundation Degree,Degree,","Certificate,Diploma,Foundation Degree,Degree,","Certificate,Diploma,Foundation Degree,Degree,","Certificate,Diploma,Foundation Degree,Degree,","Certificate,Diploma,Foundation Degree,Degree,","Certificate,Diploma,Foundation Degree,Degree,","Certificate,Diploma,Foundation Degree,Degree,","Certificate,Diploma,Foundation Degree,Degree,","Certificate,Diploma,Foundation Degree,Degree,","Certificate,Diploma,Foundation Degree,Degree,","Certificate,Diploma,Foundation Degree,Degree,","Certificate,Diploma,Foundation Degree,Degree,","Certificate,Diploma,Foundation Degree,Degree,","Certificate,Diploma,Foundation Degree,Degree,","Certificate,Diploma,Foundation Degree,Degree,","Certificate,Diploma,Foundation Degree,Degree,","Certificate,Diploma,Foundation Degree,Degree,","Certificate,Diploma,Foundation Degree,Degree,","Certificate,Diploma,Foundation Degree,Degree,","Certificate,Diploma,Foundation Degree,Degree,","Certificate,Diploma,Foundation Degree,Degree,","Certificate,Diploma,Foundation Degree,Degree,","Certificate,Diploma,Foundation Degree,Degree,","Certificate,Diploma,Foundation Degree,Degree,","Certificate,Diploma,Foundation Degree,","Certificate,Diploma,Foundation Degree,Degree,","Certificate,Diploma,Foundation Degree,Degree,","Certificate,Diploma,Foundation Degree,Degree,","Certificate,Diploma,Foundation Degree,Degree,"
164,CIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Certificate,Diploma,",,,,,,,,,,,,
169,CISI,Charted Institute for Securities & Invesment,,,,,,,,,,,,,,,,,,,"Certificate,Diploma,Foundation Degree,Degree,Masters,",,,,,,,,,,,,,,,,,,,,,,
35,CIMA,CIMA Sri Lanka Devision,"Certificate,Diploma,ACMA - Associate Chartered Management Accountant,CGMA - Chartered Global Management Accountant,",,,,,,,,,,,,,,,,,,,,,,,,,,"Certificate,Diploma,ACMA - Associate Chartered Management Accountant,CGMA - Chartered Global Management Accountant,",,,,,,,,,,,,,,
28,CIRP,CIRP School of Psychology,,,,,,"Diploma,Foundation Degree,",,,,,,,"Diploma,Foundation Degree,","Diploma,Foundation Degree,",,,,,,"Diploma,Foundation Degree,",,,,,,,,,,,,,,,,"Certificate,Diploma,Foundation Degree,Degree,Masters,",,,,,
31,CMA,,"Diploma,Professional Management Accountancy,",,,,,,,,,,,,,,,,,,,,,,,,,,"Diploma,Professional Management Accountancy,",,,,,,,,,,,,,,
360,CAHM,Colombo Academy of Hospitality Management @ SLIIT,,,,,,,,,,,,,,,,,,,,,"Certificate,Diploma,Degree,","Certificate,Diploma,Degree,",,,,,,,,,,,,,,,,,,,"Certificate,Diploma,Degree,"
86,CINEC,Colombo International Nautical & Engineering College,,"Degree,",,,,,,,"Diploma,Foundation Degree,Degree,","Diploma,Foundation Degree,Degree,","Diploma,Foundation Degree,Degree,",,,,,,"Diploma,Foundation Degree,Degree,Masters,",,,,,"Diploma,",,"Certificate,Diploma,",,"Certificate,Diploma,Foundation Degree,Degree,Masters,","Degree,",,,,,,"Degree,",,,"Degree,",,,,"Diploma,","Diploma,"
475,COSS,COSS Lanka (pvt) Ltd,"Diploma,Degree,Masters,","Diploma,","Diploma,","Diploma,","Diploma,","Diploma,","Diploma,","Diploma,","Diploma,","Diploma,","Diploma,",,"Diploma,","Diploma,",,"Diploma,",,"Diploma,","Diploma,",,,"Diploma,",,"Diploma,","Diploma,",,,"Diploma,","Diploma,","Diploma,","Diploma,Degree,","Degree,","Degree,","Diploma,Degree,","Degree,","Diploma,Degree,","Diploma,Degree,","Diploma,Degree,","Diploma,Degree,","Diploma,Degree,","Diploma,Degree,"
227,Cultural Centre of Russian Embassy,Cultural Center of Russian Embassy,,"Degree,",,,"Degree,",,,,"Degree,Masters,Phd,","Degree,","Degree,","Degree,",,,,,"Degree,",,,,,,,"Degree,",,"Degree,",,,,,,"Degree,",,,,"Degree,","Degree,",,,,
533,DESTINY MIGRATION SOLUTIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,
540,DMS Software,,,,,,,,,,,,"IT Training and Certification for Oracle Technology,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,e-Academy,e-Academy Computer Education Center,,,,,,,,,,,"Certificate,Diploma,Foundation Degree,Degree,",,,,,,"Certificate,Diploma,Foundation Degree,",,,,,,,,,,,,,,,,,,,,,,,,
327,EDULINK,EDULINK International Campus,"Degree,",,,,,"Diploma,Degree,Masters,",,,,,"Diploma,Degree,",,,,,,,,,,,,,,,,,,"Degree,",,,,,,,"Degree,Masters,",,,,,
433,Excellence College of Management,Excellence College of Management,"Certificate,Diploma,Degree,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,Ezy Intellect (Pvt) Ltd.,,,,,,,,,,,,"Certificate,null,null,null,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,FEC,FEC Foreign Education Consultants,"Diploma,Degree,Masters,","Diploma,Degree,Masters,","Diploma,Degree,Masters,",,"Diploma,Degree,Masters,","Diploma,Degree,Masters,","Diploma,Degree,Masters,",,"Diploma,Degree,Masters,",,"Diploma,Degree,Masters,",,,,,,"Diploma,Degree,Masters,",,"Diploma,Degree,Masters,",,,,,,"Diploma,Degree,Masters,",,"Diploma,Degree,Masters,",,"Diploma,Degree,Masters,",,,,,,,,,,,,
562,Flex Institute,,"Degree,Masters,",,,,,,,,,,,,,,,,,,,,,,,,,,"Degree,Masters,",,,,,,,,,,,,,,
431,FTMS,,"Certificate,Diploma,Foundation Degree,Degree,",,,,,"Certificate,Diploma,Foundation Degree,Degree,Masters,",,,,,"Diploma,Foundation Degree,Degree,Masters,",,,,,,,,"Diploma,Foundation Degree,Degree,",,"Certificate,","Diploma,Foundation Degree,","Diploma,Foundation Degree,Degree,","Certificate,Diploma,Degree,",,,"Diploma,Foundation Degree,Degree,",,"Diploma,Foundation Degree,Degree,",,,,,,,,,,,,"Diploma,Foundation Degree,"
252,Future Minds Secretariat,,"Certificate,","Certificate,Diploma,Degree,","Certificate,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Diploma,",,,,,
558,Future waves,,"Diploma,Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,",,"Diploma,Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,",,"Diploma,Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,",,,,"Diploma,Foundation Degree,Degree,Masters,Phd,",,"Diploma,Foundation Degree,Degree,Masters,Phd,",,"Diploma,Foundation Degree,Degree,Masters,Phd,",,"Certificate,Diploma,Foundation Degree,","Certificate,Diploma,Foundation Degree,","Diploma,Foundation Degree,Degree,Masters,Phd,","Diploma,",,,"Diploma,Foundation Degree,Degree,Masters,Phd,",,"Diploma,Foundation Degree,Degree,Masters,Phd,",,,,,,,"Diploma,Foundation Degree,Degree,Masters,Phd,",,,,,
17,Global Education Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Degree,",,,,,,,,,
480,Grand Royal Institue,,"Degree,Masters,Phd,","Degree,Masters,Phd,",,,"Degree,Masters,Phd,","Degree,Masters,Phd,","Degree,Masters,Phd,",,"Degree,Masters,Phd,","Degree,Masters,Phd,","Degree,Masters,Phd,","Degree,Masters,Phd,","Degree,Masters,Phd,",,"Degree,Masters,Phd,","Degree,Masters,Phd,","Degree,Masters,Phd,",,"Degree,Masters,Phd,","Degree,Masters,Phd,","Degree,Masters,Phd,","Degree,Masters,Phd,",,"Degree,Masters,Phd,","Degree,Masters,Phd,","Degree,Masters,Phd,","Degree,Masters,Phd,","Degree,Masters,Phd,","Degree,Masters,","Degree,Masters,Phd,","Degree,Masters,Phd,","Degree,Masters,Phd,",,,"Degree,Masters,Phd,","Degree,Masters,Phd,","Degree,Masters,Phd,",,,,"Degree,Masters,Phd,"
555,Guideline,,"Diploma,",,"Diploma,",,"Diploma,",,,,"Diploma,",,,,"Diploma,",,,,"Diploma,",,,,"Diploma,","Diploma,","Diploma,","Diploma,",,,,"Diploma,","Diploma,",,,,,,,"Diploma,","Diploma,",,,,"Diploma,"
472,Hairu,,,,,,,,,,"Certificate,Diploma,Degree,Masters,",,,,,,,,,,,,,,"Diploma,Degree,",,,,"Diploma,Degree,",,,,,,,,,,,,,,
136,Horizon Campus,,"Degree,",,,,"Diploma,Degree,","Diploma,Degree,",,,,"Diploma,Degree,","Diploma,Degree,",,,,"Degree,","Degree,",,,"Degree,",,,,"Degree,",,"Degree,",,"Degree,",,"Degree,",,,,,,,,,,,"Diploma,",
377,IBA Campus,,"Certificate,Diploma,Foundation Degree,Degree,",,,,,,,,,,"Certificate,Diploma,Foundation Degree,",,,,,,,,"Certificate,Diploma,",,,,"Certificate,Diploma,Foundation Degree,Degree,",,,,"Certificate,Diploma,Foundation Degree,Degree,Masters,",,"Certificate,Diploma,Foundation Degree,Degree,",,,,,,,"Certificate,Diploma,Foundation Degree,",,,,,
82,ICBT Colombo Campus,,,,,,,"Diploma,Degree,Masters,",,,"Diploma,Degree,","Diploma,Degree,Masters,","Diploma,Degree,",,,,,,"Diploma,Degree,",,,,,,"Diploma,",,"Masters,",,"Diploma,",,"Diploma,Masters,",,,,,,"Degree,",,,,,,
230,ICBT Galle Campus,,,,,,,"Diploma,Degree,Masters,",,,"Diploma,Degree,",,"Diploma,Degree,",,,,,,,,,,,,"Diploma,",,,,"Diploma,",,"Diploma,",,,,,,,,,,,,
231,ICBT Kandy Campus,,"Degree,",,,,"Diploma,Foundation Degree,Degree,","Diploma,Foundation Degree,Degree,Masters,",,,"Diploma,Degree,","Diploma,Degree,","Diploma,Foundation Degree,Degree,Masters,",,,,,,"Diploma,Foundation Degree,Degree,",,,,,,"Diploma,","Diploma,","Masters,",,"Diploma,Foundation Degree,Degree,Masters,",,"Diploma,Foundation Degree,",,,,,,"Foundation Degree,Degree,",,,,,,
67,ICBT Study Abroad,,"Diploma,Foundation Degree,Degree,Masters,Phd,","Foundation Degree,Degree,Masters,",,"Degree,Masters,","Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Degree,Masters,","Degree,Masters,","Foundation Degree,Degree,Masters,Phd,","Foundation Degree,Degree,Masters,","Foundation Degree,Degree,Masters,Phd,",,"Degree,Masters,","Degree,Masters,","Foundation Degree,Degree,Masters,Phd,","Foundation Degree,Degree,Masters,","Foundation Degree,Degree,Masters,Phd,","Degree,Masters,","Foundation Degree,Degree,Masters,Phd,","Degree,Masters,","Degree,Masters,","Diploma,Foundation Degree,Degree,Masters,","Foundation Degree,Degree,Masters,Phd,","Degree,Masters,","Foundation Degree,Degree,Masters,",,"Diploma,Foundation Degree,Degree,Masters,Phd,","Degree,Masters,","Foundation Degree,Degree,Masters,Phd,",,"Foundation Degree,Degree,Masters,","Degree,","Degree,Masters,","Degree,Masters,","Degree,Masters,","Foundation Degree,Degree,Masters,",,"Degree,Masters,","Degree,Masters,",,"Diploma,Foundation Degree,Degree,Masters,"
21,IIHE,Imperial Institue of Higher Education,,,,,,"Degree,Masters,",,,,,"Degree,",,,,,,,,"Degree,",,,"Degree,",,,,,"Degree,",,,,,,,,,,,,,,"Degree,"
143,IIT,Informatics Institute of Technology,,,,,,"Certificate,Degree,Masters,",,,,"Certificate,","Certificate,Degree,Masters,MSc Big Data Analytics,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,Inspire Migration,,"Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,",,"Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,",,,,"Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,",,"Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,",,"Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,",,,"Certificate,Diploma,Foundation Degree,Degree,Masters,","Certificate,Diploma,Foundation Degree,Degree,Masters,",,"Certificate,Diploma,Foundation Degree,Degree,Masters,",,"Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,",,"Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,",,,,,,,,,
269,IJSE,,,,,,,,,,,,"Diploma,Degree,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,IPM,Institute of Personnel Management Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,"Certificate,Degree,Masters,",,,,,,,,,,,,,,,,,,
46,IVS,Institute of Vocational Studies,"Degree,Masters,","Degree,Masters,",,,"Degree,Masters,","Degree,Masters,","Degree,Masters,","Degree,Masters,","Degree,Masters,","Degree,Masters,","Degree,Masters,","Degree,Masters,",,,,,"Degree,Masters,","Degree,Masters,",,"Degree,Masters,","Degree,Masters,","Degree,Masters,","Degree,Masters,","Degree,Masters,","Degree,Masters,","Degree,Masters,","Degree,Masters,",,"Degree,Masters,",,,"Degree,Masters,",,"Degree,Masters,","Degree,Masters,",,"Degree,Masters,",,,,
71,IIHS,,,,,,"Diploma,Foundation Degree,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,",,,,,,,,,,,,,,,,,,,,,"Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,",,,,,,,,"Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,",,,,,
399,KIU,,"Degree,",,,,"Degree,","Degree,",,,,"Diploma,","Diploma,",,,,,,,,,,,,"Degree,",,,,,,,,,,,,"Degree,","Degree,",,,,,
